target,feature_set,n_rows,n_groups,n_features_raw,cv_kind,model,mae_mean,test_r2_mean
coulombic_efficiency_pct,A_material_plus_first_reversible_capacity,205,45,7,shuffled,Ridge,7.054056120833006,0.463888030176442
coulombic_efficiency_pct,A_material_plus_first_reversible_capacity,205,45,7,grouped,Random Forest,7.538057249008548,0.39957444422745403
coulombic_efficiency_pct,A_material_plus_first_reversible_capacity,205,45,7,shuffled,Random Forest,6.752837182778993,0.5028903742532045
coulombic_efficiency_pct,A_material_plus_first_reversible_capacity,205,45,7,grouped,Extra Trees,7.844747700269623,0.38028766705637407
coulombic_efficiency_pct,A_material_plus_first_reversible_capacity,205,45,7,shuffled,Extra Trees,6.905074365872047,0.4956329151009874
coulombic_efficiency_pct,A_material_plus_first_reversible_capacity,205,45,7,grouped,Gradient Boosting,7.6488582301108545,0.39045738421678833
coulombic_efficiency_pct,A_material_plus_first_reversible_capacity,205,45,7,shuffled,Gradient Boosting,6.666423774761124,0.5212396067803864
irreversible_capacity_mah_g,B_composition_T_time,205,45,6,grouped,Baseline mean,146.4661581146106,-0.0993676145903768
irreversible_capacity_mah_g,B_composition_T_time,205,45,6,shuffled,Baseline mean,138.9381023200476,-0.01767364923292103
irreversible_capacity_mah_g,B_composition_T_time,205,45,6,grouped,Ridge,128.91212088060118,0.12320433090515936
irreversible_capacity_mah_g,B_composition_T_time,205,45,6,shuffled,Ridge,119.57590296355175,0.2222046907457622
irreversible_capacity_mah_g,B_composition_T_time,205,45,6,grouped,Random Forest,131.49184589886292,0.028158811269168305
irreversible_capacity_mah_g,B_composition_T_time,205,45,6,shuffled,Random Forest,110.25192256732024,0.3316135490895403
irreversible_capacity_mah_g,B_composition_T_time,205,45,6,grouped,Extra Trees,130.56620238755994,0.08917769594337066
irreversible_capacity_mah_g,B_composition_T_time,205,45,6,shuffled,Extra Trees,108.49997521033603,0.3433758022823552
irreversible_capacity_mah_g,B_composition_T_time,205,45,6,grouped,Gradient Boosting,138.7601130456909,-0.15656447556008812
irreversible_capacity_mah_g,B_composition_T_time,205,45,6,shuffled,Gradient Boosting,107.39604067553677,0.3668759441710714
